serialNumber,imeiNumber,productName,supplierLicenseNumber,categoryName,status
SN000001,IMEI00000000000001,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000002,IMEI00000000000002,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000003,IMEI00000000000003,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000004,IMEI00000000000004,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000005,IMEI00000000000005,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000006,IMEI00000000000006,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000007,IMEI00000000000007,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000008,IMEI00000000000008,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000009,IMEI00000000000009,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000010,IMEI00000000000010,iPhone 15 Pro,LIC001,Electronics,ORDER_UNPLACED
SN000011,IMEI00000000000011,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000012,IMEI00000000000012,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000013,IMEI00000000000013,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000014,IMEI00000000000014,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000015,IMEI00000000000015,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000016,IMEI00000000000016,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000017,IMEI00000000000017,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000018,IMEI00000000000018,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000019,IMEI00000000000019,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000020,IMEI00000000000020,iPhone 15 Pro,LIC002,Electronics,ORDER_UNPLACED
SN000021,IMEI00000000000021,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000022,IMEI00000000000022,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000023,IMEI00000000000023,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000024,IMEI00000000000024,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000025,IMEI00000000000025,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000026,IMEI00000000000026,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000027,IMEI00000000000027,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000028,IMEI00000000000028,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000029,IMEI00000000000029,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000030,IMEI00000000000030,Samsung Galaxy S24,LIC003,Electronics,ORDER_UNPLACED
SN000031,IMEI00000000000031,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000032,IMEI00000000000032,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000033,IMEI00000000000033,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000034,IMEI00000000000034,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000035,IMEI00000000000035,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000036,IMEI00000000000036,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000037,IMEI00000000000037,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000038,IMEI00000000000038,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000039,IMEI00000000000039,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000040,IMEI00000000000040,Samsung Galaxy S24,LIC004,Electronics,ORDER_UNPLACED
SN000041,IMEI00000000000041,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000042,IMEI00000000000042,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000043,IMEI00000000000043,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000044,IMEI00000000000044,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000045,IMEI00000000000045,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000046,IMEI00000000000046,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000047,IMEI00000000000047,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000048,IMEI00000000000048,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000049,IMEI00000000000049,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000050,IMEI00000000000050,MacBook Air M3,LIC005,Electronics,ORDER_UNPLACED
SN000051,IMEI00000000000051,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000052,IMEI00000000000052,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000053,IMEI00000000000053,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000054,IMEI00000000000054,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000055,IMEI00000000000055,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000056,IMEI00000000000056,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000057,IMEI00000000000057,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000058,IMEI00000000000058,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000059,IMEI00000000000059,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000060,IMEI00000000000060,Dell XPS 13,LIC006,Electronics,ORDER_UNPLACED
SN000061,IMEI00000000000061,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000062,IMEI00000000000062,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000063,IMEI00000000000063,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000064,IMEI00000000000064,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000065,IMEI00000000000065,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000066,IMEI00000000000066,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000067,IMEI00000000000067,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000068,IMEI00000000000068,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000069,IMEI00000000000069,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000070,IMEI00000000000070,Sony WH-1000XM5,LIC007,Electronics,ORDER_UNPLACED
SN000071,IMEI00000000000071,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
SN000072,IMEI00000000000072,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
SN000073,IMEI00000000000073,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
